date,title,text,from,link
2025.04.10,"'트럼프 풋'에 환호한 아시아 증시…""추세적 반등은 일러""",도널드 트럼프 미국 대통령이 극적으로 상호관세를 90일간 유예하겠다고 발표하면서 아시아 증시가 일제히 환호했다. 특히 상호관세 문제가 불거진 후 20% 이상 급락했던 반도체 등 ‘관세 피해주’가 일제히 크게 반등했다 ...,한국경제,https://v.daum.net/v/20250410170904759
2025.04.10,"프리마켓 거래대금, 사상 첫 1조원 돌파","미국이 중국을 제외한 국가들에 대한 상호관세 부과를 유예하기로 한 10일 넥스트레이드 프리마켓의 거래대금이 사상 처음으로 1조원을 돌파했다. 금융투자업계에 따르면, 이날 넥스트레이드 프리마켓 거래대금은 1조4939억 ...",데일리안,https://v.daum.net/v/20250410170818727
2025.04.10,"[시황] 美관세 유예에 코스피 6% 급등…개인, 지난 일주일 동안 6조원 넘게 순매수",트럼프 미국 대통령의 관세 유예 발표로 코스피는 6% 안팎의 급등세를 보이며 2440대에 복귀했다. 개인 투자자들은 최근 일주일(4/2~4/9) 동안 6조924억원어치를 순매수했다. 이전 주(3/25~4/1) 798 ...,데일리안,https://v.daum.net/v/20250410170800717
2025.04.10,"K-휴머노이드 연합 출범…""모이는게 출발점, 함께 일하면 성공""","[아이뉴스24 박지은 기자] 휴머노이드 로봇 개발을 위해 정부, 학계, 기업 40여 곳이 참여하는 'K-휴머노이드 연합'이 출범한다. 산업통상자원부는 10일 서울 중구 더플라자호텔에서 'K-휴머노이드 연합' 출범식을 ...",아이뉴스24,https://v.daum.net/v/20250410170718693
2025.04.10,"삼성·LG전자, 올레드TV 놓고 또 신경전 [기업 백브리핑]","삼성전자와 LG전자, 대형 프리미엄 TV 시장 놓고 해묵은 신경전 벌였습니다.  포문은 삼성전자가 열었죠.  유기발광다이오드 인공지능 TV 신제품 내놨는데, 용석우 사장, 77인치 이상 모델, 국내 시장 점유율이 6 ...",SBS Biz,https://v.daum.net/v/20250410170422600
2025.04.10,[사사건건] “중국 제외 90일 유예”…트럼프의 생각은?,■ 방송 시간 : 4월 10일(목) 16:00~17:00 KBS1 ■ 진행 : 김용준 기자 ■ 출연 : 권혁중 / 경제 평론가 https://youtu.be/nHRvajCI-S8 ◎김용준: 이어서 경제 소식입니다. ...,KBS,https://v.daum.net/v/20250410170417595
2025.04.10,삼성전자 노사 ‘성과급 TF’ 첫 회의…“6월까지 개선안 마련”,[헤럴드경제=김현일 기자] 삼성전자 노사가 성과급 제도 개선을 위한 태스크포스(TF) 첫 회의를 개최했다. 10일 업계에 따르면 삼성전자 최대 노조인 전국삼성전자노동조합(전삼노)은 전날 경기도 기흥나노파크에서 사측과 ...,헤럴드경제,https://v.daum.net/v/20250410165716326
2025.04.10,"삼성전자, 1분기 에어컨 판매량 전년비 50% 이상 늘어",[아이뉴스24 설재윤 기자] 삼성전자는 올해 1분기에 가정용 일반 에어컨 판매량이 전년 동기 대비 50% 이상 증가했다고 10일 밝혔다. 3월을 기준으로 할 경우 △스탠드형 △벽걸이형 △창문형 등 가정용 일반 에어컨 ...,아이뉴스24,https://v.daum.net/v/20250410164811958
2025.04.10,"[월가 리포트] 트럼프, 관세 유예 4시간 전 ""지금 매수 적기""",■ 머니쇼+ '월가 리포트' - 도지은 오늘(10일) 밤 뉴욕증시를 대비해 반드시 체크해야 할 월가 이슈와 종목 짚어봅니다.  도널드 트럼프 대통령이 전 세계 여러 국가에 대한 상호 관세를 90일간 유예한다고 발표했 ...,SBS Biz,https://v.daum.net/v/20250410164512775
2025.04.10,"""불법스팸 발송 전 차단 시작""…민관협의체, 대응 회의","과학기술정보통신부, 방송통신위원회, 이동통신 3사, 대량 문자 발송 사업자 등이 '불법 스팸 대응 민관협의체' 2차 회의를 오늘(10일) 열고 스팸 문제 대응체계를 논의했습니다. 과기부와 방통위 주관으로 열린 회의에 ...",SBS Biz,https://v.daum.net/v/20250410164201636
2025.04.10,美 관세 폭탄에 가격 올린 마이크론…국내 업계는 “선제조치 없다”,미국 메모리반도체 기업인 마이크론이 관세 부담을 고객사에게 전가하는 정책을 내놨다. 삼성전자와 SK하이닉스도 관세 영향권에 있지만 선제적인 조치는 없을 것이라 밝혀 향후 경영 전략이 주목된다. 도널드 트럼프 미국 대 ...,쿠키뉴스,https://v.daum.net/v/20250410163806458
2025.04.10,트럼프 관세 폭탄에…메모리 양극화 심화 우려 커진다,"[이데일리 김소연 기자] 미국 도널드 트럼프 대통령이 관세를 무기로 마구잡이 행보를 보이는 가운데, 메모리 양극화는 더 심화하리란 전망이 나온다. 인공지능(AI) 반도체에서 K반도체를 대체할 제품은 없어 관세 영향을 ...",이데일리,https://v.daum.net/v/20250410163710423
